Date Added,ICCID,Device ID,Cycle to Date Usage (MB),In Session,MSISDN,Customer,Rate Plan,IMEI,SIM Status,Activated,IMEI Maker,IMEI Model
06/07/2024 01:04 PM PDT,89011003300114432265,Surface Water iPad,"4,091.15",Yes,5662353284,Stormwater,City of Mukilteo UNL,3594147830332608,Activated,06/10/2024,Apple,iPad (A2757)
06/07/2024 01:04 PM PDT,89011003300114432273,E24 iPad,366.419,Yes,5009944201,Fire,City of Mukilteo 2GB,3520700728653863,Activated,08/29/2024,Apple,iPad (A1567)
06/07/2024 01:04 PM PDT,89011003300114432281,MK-PD-EXPLORER,0.047,No,5272910625,Police,City of Mukilteo 250MB,0153340005792201,Activated,03/03/2025,Dell,Latitude 9420 2 in 1
06/07/2024 01:04 PM PDT,89011003300114432307,AB-MK-LAP4,"8,950.166",Yes,5666277058,Fire,City of Mukilteo UNL,0153340000481703,Activated,02/19/2025,Dell,Latitude 9420 2 in 1
06/07/2024 01:04 PM PDT,89011003300114432315,MK-PD-59,0.027,No,5004725902,Police,City of Mukilteo UNL,0158330019518011,Activated,02/06/2025,Dell,DW5821E-eSIM-N
06/07/2024 01:04 PM PDT,89011003300114432323,AB-MK-LAP5,"3,603.891",No,5003751458,Fire,City of Mukilteo UNL,0158330019526411,Activated,02/18/2025,Dell,DW5821E-eSIM-N
06/07/2024 01:04 PM PDT,89011003300114432331,MK-PD-V69,"2,491.52",No,5272908308,Police,City of Mukilteo UNL,0158330017219011,Activated,08/15/2024,Dell,DW5821E-eSIM-N
06/07/2024 01:04 PM PDT,89011003300114432349,A25 iPad,130.454,Yes,5008897108,Fire,City of Mukilteo 250MB,3558170813613759,Activated,06/24/2024,Apple,iPad Pro 10.5 (A1709)
06/07/2024 01:04 PM PDT,89011003300114432356,E25 iPad,"2,412.257",Yes,5005566553,Fire,City of Mukilteo UNL,3558170813730159,Activated,06/14/2024,Apple,iPad Pro 10.5 (A1709)
01/16/2025 12:06 PM PST,89011008300112979387,MK-PD-63,"7,713.694",No,5442466449,Police,City of Mukilteo UNL,0158330019532411,Activated,02/24/2025,Dell,DW5821E-eSIM-N
09/16/2024 02:06 PM PDT,89011008300113017963,PD-LAP-CHIEF,"1,226.545",Yes,5336483440,Police,City of Mukilteo 2GB,3565668109691303,Activated,09/18/2024,Dell,T99W373
01/16/2025 12:06 PM PST,89011008300145689409,MK-PD-71,"4,172.954",Yes,5446348556,Police,City of Mukilteo UNL,0158330017232903,Activated,03/11/2025,Dell,DW5821E-eSIM-N
01/03/2025 02:06 PM PST,89011008300145690050,MK-PD-81,0,No,5335153602,Police,City of Mukilteo UNL,0158330019524811,Activated,02/06/2025,Dell,DW5821E-eSIM-N
01/03/2025 02:06 PM PST,89011008300145690068,AB-MK-LAP3,"7,779.842",Yes,5447359106,Fire,City of Mukilteo UNL,0158330019522211,Activated,01/08/2025,Dell,DW5821E-eSIM-N
